Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
RD0,O3,01/01/2021 00:00,20.20000,ug m-3,R
RD0,O3,01/01/2021 00:15,20.20000,ug m-3,R
RD0,O3,01/01/2021 00:30,20.20000,ug m-3,R
RD0,O3,01/01/2021 00:45,20.20000,ug m-3,R
RD0,O3,01/01/2021 01:00,16.60000,ug m-3,R
RD0,O3,01/01/2021 01:15,16.60000,ug m-3,R
RD0,O3,01/01/2021 01:30,16.60000,ug m-3,R
RD0,O3,01/01/2021 01:45,16.60000,ug m-3,R
RD0,O3,01/01/2021 02:00,18.80000,ug m-3,R
RD0,O3,01/01/2021 02:15,18.80000,ug m-3,R
RD0,O3,01/01/2021 02:30,18.80000,ug m-3,R
RD0,O3,01/01/2021 02:45,18.80000,ug m-3,R
RD0,O3,01/01/2021 03:00,19.10000,ug m-3,R
RD0,O3,01/01/2021 03:15,19.10000,ug m-3,R
RD0,O3,01/01/2021 03:30,19.10000,ug m-3,R
RD0,O3,01/01/2021 03:45,19.10000,ug m-3,R
RD0,O3,01/01/2021 04:00,18.30000,ug m-3,R
RD0,O3,01/01/2021 04:15,18.30000,ug m-3,R
RD0,O3,01/01/2021 04:30,18.30000,ug m-3,R
RD0,O3,01/01/2021 04:45,18.30000,ug m-3,R
RD0,O3,01/01/2021 05:00,14.50000,ug m-3,R
RD0,O3,01/01/2021 05:15,14.50000,ug m-3,R
RD0,O3,01/01/2021 05:30,14.50000,ug m-3,R
RD0,O3,01/01/2021 05:45,14.50000,ug m-3,R
RD0,O3,01/01/2021 06:00,9.80000,ug m-3,R
RD0,O3,01/01/2021 06:15,9.80000,ug m-3,R
RD0,O3,01/01/2021 06:30,9.80000,ug m-3,R
RD0,O3,01/01/2021 06:45,9.80000,ug m-3,R
RD0,O3,01/01/2021 07:00,7.70000,ug m-3,R
RD0,O3,01/01/2021 07:15,7.70000,ug m-3,R
RD0,O3,01/01/2021 07:30,7.70000,ug m-3,R
RD0,O3,01/01/2021 07:45,7.70000,ug m-3,R
RD0,O3,01/01/2021 08:00,6.60000,ug m-3,R
RD0,O3,01/01/2021 08:15,6.60000,ug m-3,R
RD0,O3,01/01/2021 08:30,6.60000,ug m-3,R
RD0,O3,01/01/2021 08:45,6.60000,ug m-3,R
RD0,O3,01/01/2021 09:00,7.40000,ug m-3,R
RD0,O3,01/01/2021 09:15,7.40000,ug m-3,R
RD0,O3,01/01/2021 09:30,7.40000,ug m-3,R
RD0,O3,01/01/2021 09:45,7.40000,ug m-3,R
RD0,O3,01/01/2021 10:00,8.20000,ug m-3,R
RD0,O3,01/01/2021 10:15,8.20000,ug m-3,R
RD0,O3,01/01/2021 10:30,8.20000,ug m-3,R
RD0,O3,01/01/2021 10:45,8.20000,ug m-3,R
RD0,O3,01/01/2021 11:00,11.00000,ug m-3,R
RD0,O3,01/01/2021 11:15,11.00000,ug m-3,R
RD0,O3,01/01/2021 11:30,11.00000,ug m-3,R
RD0,O3,01/01/2021 11:45,11.00000,ug m-3,R
RD0,O3,01/01/2021 12:00,13.00000,ug m-3,R
RD0,O3,01/01/2021 12:15,13.00000,ug m-3,R
RD0,O3,01/01/2021 12:30,13.00000,ug m-3,R
RD0,O3,01/01/2021 12:45,13.00000,ug m-3,R
RD0,O3,01/01/2021 13:00,8.90000,ug m-3,R
RD0,O3,01/01/2021 13:15,8.90000,ug m-3,R
RD0,O3,01/01/2021 13:30,8.90000,ug m-3,R
RD0,O3,01/01/2021 13:45,8.90000,ug m-3,R
RD0,O3,01/01/2021 14:00,9.10000,ug m-3,R
RD0,O3,01/01/2021 14:15,9.10000,ug m-3,R
RD0,O3,01/01/2021 14:30,9.10000,ug m-3,R
RD0,O3,01/01/2021 14:45,9.10000,ug m-3,R
RD0,O3,01/01/2021 15:00,7.90000,ug m-3,R
RD0,O3,01/01/2021 15:15,7.90000,ug m-3,R
RD0,O3,01/01/2021 15:30,7.90000,ug m-3,R
RD0,O3,01/01/2021 15:45,7.90000,ug m-3,R
