index,Data,Hora,Rain,Pressure,Temperature,Humidty,Wind Directions,Wind Speed,station,station_code,latitude,longitude,height
22010,40271,0.083333333,0,989,23.4,94,197,1.8,CACOAL,A939,-11.44583333,-61.43416666,210
22011,40271,0.125,0,988.6,23.3,94,98,1.1,CACOAL,A939,-11.44583333,-61.43416666,210
22012,40271,0.166666667,0,988.4,22.9,94,112,1.1,CACOAL,A939,-11.44583333,-61.43416666,210
22013,40271,0.208333333,0,988.2,23,94,348,2.3,CACOAL,A939,-11.44583333,-61.43416666,210
22014,40271,0.25,0,987.6,22.5,94,345,3.1,CACOAL,A939,-11.44583333,-61.43416666,210
22015,40271,0.291666667,0,987.2,22.3,95,360,3.2,CACOAL,A939,-11.44583333,-61.43416666,210
22016,40271,0.333333333,0,987.3,22,95,30,3.8,CACOAL,A939,-11.44583333,-61.43416666,210
22017,40271,0.375,0,987.8,22.1,95,20,2.8,CACOAL,A939,-11.44583333,-61.43416666,210
22018,40271,0.416666667,0,988.5,22.1,95,66,2.6,CACOAL,A939,-11.44583333,-61.43416666,210
22019,40271,0.458333333,0,989.3,22.7,95,150,1.8,CACOAL,A939,-11.44583333,-61.43416666,210
22020,40271,0.5,0,990.1,24.1,93,47,3.6,CACOAL,A939,-11.44583333,-61.43416666,210
22021,40271,0.541666667,0,990.7,25.7,86,29,4,CACOAL,A939,-11.44583333,-61.43416666,210
22022,40271,0.583333333,0,990.8,27.4,79,26,4.5,CACOAL,A939,-11.44583333,-61.43416666,210
22023,40271,0.625,0,990.4,28,75,354,7,CACOAL,A939,-11.44583333,-61.43416666,210
22024,40271,0.666666667,0,989.3,29.2,71,3,7,CACOAL,A939,-11.44583333,-61.43416666,210
22025,40271,0.708333333,0,988.1,29.4,69,7,4.3,CACOAL,A939,-11.44583333,-61.43416666,210
22026,40271,0.75,0,987.2,28.6,70,31,4.7,CACOAL,A939,-11.44583333,-61.43416666,210
22027,40271,0.791666667,0,986.1,30.4,72,340,4.3,CACOAL,A939,-11.44583333,-61.43416666,210
22028,40271,0.833333333,0,985.3,31.2,62,12,4.1,CACOAL,A939,-11.44583333,-61.43416666,210
22029,40271,0.875,0,985,30.8,59,22,4.4,CACOAL,A939,-11.44583333,-61.43416666,210
22030,40271,0.916666667,0,985.6,29.2,66,44,3,CACOAL,A939,-11.44583333,-61.43416666,210
22031,40271,0.958333333,0,986.2,27.8,76,149,1.6,CACOAL,A939,-11.44583333,-61.43416666,210
22032,40272,0,0,986.9,26.3,83,96,1.3,CACOAL,A939,-11.44583333,-61.43416666,210
22033,40272,0.041666667,0,988.1,26,86,269,0.9,CACOAL,A939,-11.44583333,-61.43416666,210
22034,40272,0.083333333,0,988.5,25,89,107,1.5,CACOAL,A939,-11.44583333,-61.43416666,210
22035,40272,0.125,0,988.7,24.7,91,141,0.8,CACOAL,A939,-11.44583333,-61.43416666,210
22036,40272,0.166666667,0,988.8,24.3,92,-9999,1,CACOAL,A939,-11.44583333,-61.43416666,210
22037,40272,0.208333333,0,988.7,24.4,93,142,1.5,CACOAL,A939,-11.44583333,-61.43416666,210
22038,40272,0.25,0,988.4,24.1,94,135,1.9,CACOAL,A939,-11.44583333,-61.43416666,210
22039,40272,0.291666667,0,988.2,24.2,94,295,2.3,CACOAL,A939,-11.44583333,-61.43416666,210
22040,40272,0.333333333,0,988,24,94,44,1.2,CACOAL,A939,-11.44583333,-61.43416666,210
22041,40272,0.375,0,988.2,24.1,93,279,1,CACOAL,A939,-11.44583333,-61.43416666,210
22042,40272,0.416666667,0,988.6,24,94,145,1.1,CACOAL,A939,-11.44583333,-61.43416666,210
22043,40272,0.458333333,0,989.4,24.3,94,106,1,CACOAL,A939,-11.44583333,-61.43416666,210
22044,40272,0.5,0,990.2,25.3,93,169,1.7,CACOAL,A939,-11.44583333,-61.43416666,210
22045,40272,0.541666667,0,990.6,27.6,90,57,1.9,CACOAL,A939,-11.44583333,-61.43416666,210
22046,40272,0.583333333,0,990.8,29.6,80,102,3.2,CACOAL,A939,-11.44583333,-61.43416666,210
22047,40272,0.625,0,990.4,30.5,70,59,3.1,CACOAL,A939,-11.44583333,-61.43416666,210
22048,40272,0.666666667,0,989.1,31.8,65,137,3.1,CACOAL,A939,-11.44583333,-61.43416666,210
22049,40272,0.708333333,0,987.5,32.6,62,85,4.7,CACOAL,A939,-11.44583333,-61.43416666,210
22050,40272,0.75,0,986.3,32,67,101,6.8,CACOAL,A939,-11.44583333,-61.43416666,210
22051,40272,0.791666667,0,985.3,32.9,58,128,3.7,CACOAL,A939,-11.44583333,-61.43416666,210
22052,40272,0.833333333,0.8,984.9,30.4,70,113,3.9,CACOAL,A939,-11.44583333,-61.43416666,210
22053,40272,0.875,0,984.9,30.4,78,56,5.6,CACOAL,A939,-11.44583333,-61.43416666,210
22054,40272,0.916666667,0,985.5,29.5,72,149,3,CACOAL,A939,-11.44583333,-61.43416666,210
22055,40272,0.958333333,0,986.6,27.7,80,111,2,CACOAL,A939,-11.44583333,-61.43416666,210
22056,40273,0,0,987.5,27.4,82,214,4,CACOAL,A939,-11.44583333,-61.43416666,210
22057,40273,0.041666667,0,988.5,26.7,84,175,5.5,CACOAL,A939,-11.44583333,-61.43416666,210
22058,40273,0.083333333,0,989.7,26.6,84,265,5.5,CACOAL,A939,-11.44583333,-61.43416666,210
22059,40273,0.125,0,989.5,25.9,88,215,3.2,CACOAL,A939,-11.44583333,-61.43416666,210
22060,40273,0.166666667,0,989.5,25.6,90,154,2.3,CACOAL,A939,-11.44583333,-61.43416666,210
22061,40273,0.208333333,0,989.5,25.4,91,186,2.6,CACOAL,A939,-11.44583333,-61.43416666,210
22062,40273,0.25,0,989.1,25.1,91,252,2.2,CACOAL,A939,-11.44583333,-61.43416666,210
22063,40273,0.291666667,0,988.7,25.2,91,199,2.1,CACOAL,A939,-11.44583333,-61.43416666,210
22064,40273,0.333333333,0,989,25.2,90,206,2.4,CACOAL,A939,-11.44583333,-61.43416666,210
22065,40273,0.375,0,989.2,25.1,90,154,2.6,CACOAL,A939,-11.44583333,-61.43416666,210
22066,40273,0.416666667,0,989.3,25.1,92,189,2.5,CACOAL,A939,-11.44583333,-61.43416666,210
22067,40273,0.458333333,0,990.1,25.5,91,166,3.2,CACOAL,A939,-11.44583333,-61.43416666,210
22068,40273,0.5,0,991,25.9,88,171,5.9,CACOAL,A939,-11.44583333,-61.43416666,210
22069,40273,0.541666667,0,991.7,26.1,85,169,7.2,CACOAL,A939,-11.44583333,-61.43416666,210
22070,40273,0.583333333,0,992,27.1,85,178,7.2,CACOAL,A939,-11.44583333,-61.43416666,210
22071,40273,0.625,0,991.9,27.7,80,196,6,CACOAL,A939,-11.44583333,-61.43416666,210
22072,40273,0.666666667,0,990.8,28.8,83,197,6.7,CACOAL,A939,-11.44583333,-61.43416666,210
22073,40273,0.708333333,0,989.9,26,87,175,8.7,CACOAL,A939,-11.44583333,-61.43416666,210
22074,40273,0.75,0,988.7,27.6,88,177,9.5,CACOAL,A939,-11.44583333,-61.43416666,210
22075,40273,0.791666667,0,988.3,26.6,78,204,10.2,CACOAL,A939,-11.44583333,-61.43416666,210
22076,40273,0.833333333,0,987.9,26.7,78,202,9.4,CACOAL,A939,-11.44583333,-61.43416666,210
22077,40273,0.875,0,988.1,26.3,77,204,8.3,CACOAL,A939,-11.44583333,-61.43416666,210
22078,40273,0.916666667,0,988.7,25.9,77,202,6.2,CACOAL,A939,-11.44583333,-61.43416666,210
